t,x,y
1.798,144.6,-520.7
1.815,162.1,-515.8
1.831,178.4,-510.7
1.848,193.6,-505.4
1.864,207.9,-500.2
1.881,219.5,-495.3
1.898,230.3,-490.6
1.914,238.7,-486.8
1.931,245.4,-483.7
1.948,250.6,-481.5
1.964,253.4,-480.3
1.981,254.5,-480.0
1.998,253.9,-480.4
2.014,250.9,-482.0
2.031,246.1,-484.4
2.048,239.6,-487.9
2.064,231.4,-491.9
2.081,221.8,-496.6
2.098,210.3,-501.7
2.114,196.7,-507.3
2.131,182.1,-513.0
2.147,165.8,-518.8
2.164,149.8,-523.9
2.181,130.3,-528.8
2.197,108.8,-533.4
2.214,89.94,-536.9
2.231,68.31,-539.8
2.247,46.40,-541.8
2.264,22.14,-543.4
2.281,-0.664,-543.5
2.297,-21.02,-542.8
2.314,-43.06,-540.9
2.331,-66.17,-538.7
2.347,-86.27,-535.5
2.364,-106.5,-531.6
2.381,-125.9,-527.4
2.397,-142.4,-522.7
2.414,-158.8,-517.6
2.430,-171.7,-512.8
2.447,-183.6,-507.7
2.464,-194.6,-503.7
2.480,-202.6,-499.7
2.497,-210.9,-496.6
2.514,-215.4,-494.0
2.530,-220.0,-492.4
2.547,-221.3,-491.6
2.564,-220.9,-491.7
2.580,-219.0,-492.5
2.597,-215.1,-494.3
2.614,-208.5,-496.9
2.630,-200.2,-499.9
2.647,-190.9,-503.6
2.664,-179.5,-507.6
2.680,-165.4,-511.8
2.697,-151.0,-516.7
2.713,-134.5,-520.8
2.730,-117.3,-525.4
2.747,-96.25,-528.9
2.763,-74.76,-531.8
2.780,-54.64,-534.7
2.797,-32.40,-536.9
2.813,-10.25,-537.9
2.830,12.60,-537.9
2.847,33.28,-537.7
2.863,54.03,-536.5
2.880,74.80,-534.5
2.897,95.73,-531.6
2.913,116.6,-527.7
2.930,135.1,-523.5
2.947,154.0,-518.9
2.963,169.8,-513.9
2.980,185.8,-508.8
2.996,199.3,-504.0
3.013,210.3,-499.3
3.030,221.7,-495.1
3.046,230.4,-491.3
3.063,237.3,-488.3
3.080,243.2,-486.2
3.096,246.5,-484.6
3.113,248.0,-483.8
3.130,247.7,-484.3
3.146,245.7,-485.6
3.163,241.3,-487.8
3.180,235.8,-490.5
3.196,228.2,-494.3
3.213,219.4,-498.7
3.230,207.6,-503.5
3.246,195.4,-508.5
3.263,181.1,-513.8
3.279,165.4,-518.8
3.296,148.1,-523.9
3.313,130.7,-528.6
3.329,112.4,-532.7
3.346,92.32,-536.5
3.363,70.75,-539.5
3.379,49.78,-541.6
3.396,29.58,-542.9
3.413,7.246,-542.9
3.429,-14.91,-542.8
3.446,-35.62,-540.8
3.463,-56.65,-538.8
3.479,-77.27,-535.9
3.496,-98.14,-532.5
3.513,-117.2,-528.3
3.529,-133.5,-523.8
3.546,-149.6,-519.3
3.562,-164.0,-514.5
3.579,-175.2,-510.0
3.596,-186.8,-505.6
3.612,-196.1,-501.9
3.629,-204.1,-498.7
3.646,-209.7,-495.7
3.662,-213.0,-494.0
3.679,-215.4,-492.7
3.696,-215.4,-492.7
3.712,-213.8,-493.3
3.729,-210.0,-494.8
3.746,-204.2,-496.9
3.762,-197.1,-499.8
3.779,-188.7,-503.3
3.796,-178.0,-507.4
3.812,-165.2,-511.6
3.829,-150.8,-515.8
3.845,-133.5,-520.0
3.862,-117.6,-524.3
3.879,-97.06,-528.0
3.895,-79.65,-531.6
3.912,-59.70,-534.4
3.929,-38.44,-536.6
3.945,-18.28,-538.4
3.962,4.707,-538.8
3.979,26.46,-538.6
3.995,47.60,-537.6
4.012,69.35,-535.6
4.029,90.42,-532.7
4.045,110.7,-529.7
4.062,130.1,-525.7
4.079,148.1,-521.9
4.095,165.5,-516.8
4.112,177.5,-512.6
4.128,193.6,-507.8
4.145,204.0,-503.6
4.162,214.6,-499.6
4.178,224.6,-495.9
4.195,231.6,-492.7
4.212,236.6,-490.4
4.228,240.5,-488.9
4.245,242.5,-488.0
4.262,242.6,-487.9
4.278,241.1,-489.0
4.295,238.0,-490.6
4.312,232.7,-493.4
4.328,225.6,-496.6
4.345,216.6,-500.7
4.362,206.6,-504.8
4.378,194.8,-509.6
4.395,181.1,-514.3
4.411,167.6,-518.9
4.428,151.2,-523.7
4.445,134.9,-528.0
4.461,115.3,-532.3
4.478,97.15,-535.8
4.495,77.18,-538.7
4.511,56.16,-540.5
4.528,36.18,-541.9
4.545,13.79,-542.4
4.561,-6.999,-542.1
4.578,-28.44,-540.5
4.595,-49.16,-538.8
4.611,-69.38,-535.6
4.628,-88.86,-532.3
4.645,-107.2,-528.5
4.661,-124.6,-524.4
4.678,-140.0,-519.9
4.694,-154.5,-515.3
4.711,-166.7,-511.0
4.728,-177.6,-506.8
4.744,-186.7,-502.8
4.761,-194.5,-499.5
4.778,-200.0,-496.7
4.794,-204.4,-494.6
4.811,-206.6,-493.4
4.828,-207.2,-493.3
4.844,-205.6,-493.7
4.861,-202.0,-495.1
4.878,-197.1,-497.1
4.894,-190.6,-499.6
4.911,-182.5,-502.6
4.928,-172.2,-506.6
4.944,-160.1,-510.5
4.961,-146.4,-514.8
4.977,-131.4,-518.9
4.994,-114.5,-522.7
5.011,-96.62,-526.7
5.027,-77.62,-529.9
5.044,-57.92,-533.0
5.061,-39.73,-535.4
5.077,-17.12,-537.0
5.094,3.849,-537.8
5.111,24.57,-537.7
5.127,44.40,-537.5
5.144,66.07,-535.9
5.161,85.84,-533.7
5.177,105.4,-530.7
5.194,123.3,-527.5
5.211,141.7,-523.8
5.227,157.2,-519.7
5.244,171.3,-515.6
5.260,185.1,-511.7
5.277,195.0,-507.4
5.294,205.6,-503.5
5.310,215.0,-500.0
5.327,222.1,-497.1
5.344,227.5,-494.6
5.360,231.4,-493.0
5.377,233.7,-491.9
5.394,234.0,-491.6
5.410,232.6,-492.7
5.427,229.7,-494.1
5.444,225.2,-496.4
5.460,218.7,-499.4
5.477,210.7,-503.1
5.494,200.7,-507.0
5.510,189.5,-511.2
5.527,176.9,-515.8
5.543,162.8,-520.3
5.560,147.6,-525.1
5.577,131.7,-529.0
5.593,113.2,-532.6
5.610,96.83,-535.8
5.627,76.68,-538.7
5.643,57.30,-540.7
5.660,36.61,-541.7
5.677,15.21,-542.5
5.693,-4.157,-542.0
5.710,-25.12,-540.9
5.727,-45.49,-538.7
5.743,-66.10,-536.4
5.760,-85.51,-533.4
5.777,-102.8,-529.5
5.793,-119.9,-525.4
5.810,-134.4,-521.1
5.826,-148.8,-516.6
5.843,-161.4,-512.3
5.860,-172.6,-508.5
5.876,-181.8,-504.6
5.893,-189.5,-501.3
5.910,-195.2,-498.6
5.926,-199.6,-496.5
5.943,-202.1,-495.4
5.960,-202.7,-494.8
5.976,-201.4,-495.0
5.993,-198.4,-495.9
6.010,-193.4,-497.9
6.026,-187.5,-500.3
6.043,-179.0,-503.4
6.060,-168.6,-506.6
6.076,-157.6,-510.5
6.093,-144.5,-514.6
6.109,-130.5,-518.6
6.126,-113.4,-522.9
6.143,-97.59,-526.4
6.159,-78.25,-529.8
6.176,-59.49,-532.7
6.193,-39.10,-534.9
6.209,-19.43,-536.7
6.226,2.046,-537.9
6.243,19.11,-538.6
6.259,41.25,-537.7
6.276,60.76,-536.6
6.293,81.03,-534.8
6.309,97.44,-532.4
6.326,116.8,-529.6
6.343,135.4,-525.8
6.359,149.2,-522.4
6.376,163.3,-518.5
6.392,177.1,-514.5
