t,x,y
2.781,470.1,-495.4
2.797,470.2,-494.8
2.814,468.9,-495.8
2.831,466.3,-498.1
2.847,462.0,-502.2
2.864,456.2,-507.3
2.881,449.0,-513.4
2.897,433.9,-527.9
2.914,423.3,-536.7
2.931,410.2,-546.6
2.947,395.9,-557.2
2.964,380.6,-568.8
2.981,364.6,-580.8
2.997,342.1,-592.1
3.014,324.6,-604.8
3.031,301.4,-616.3
3.047,277.6,-627.8
3.064,252.0,-638.9
3.081,224.4,-649.6
3.097,195.5,-659.2
3.114,165.4,-667.7
3.131,133.4,-674.6
3.147,100.7,-680.4
3.164,71.51,-684.5
3.180,41.54,-687.1
3.197,-3.356,-687.7
3.214,-31.92,-687.6
3.230,-61.95,-686.1
3.247,-94.05,-682.8
3.264,-126.4,-678.0
3.280,-156.6,-671.6
3.297,-188.1,-664.1
3.314,-217.6,-655.2
3.330,-243.6,-646.2
3.347,-268.8,-635.9
3.364,-291.1,-626.0
3.380,-312.3,-615.1
3.397,-332.7,-604.2
3.414,-349.6,-594.2
3.430,-366.4,-583.5
3.447,-381.4,-573.9
3.464,-394.2,-564.5
3.480,-406.1,-555.9
3.497,-415.1,-548.6
3.514,-423.3,-542.1
3.530,-430.0,-536.6
3.547,-434.6,-532.6
3.563,-437.9,-529.8
3.580,-439.7,-528.3
3.597,-440.2,-527.9
3.613,-439.0,-529.0
3.630,-436.3,-531.6
3.647,-432.3,-535.7
3.663,-426.6,-540.9
3.680,-419.0,-547.0
3.697,-409.5,-554.2
3.713,-399.3,-562.4
3.730,-386.9,-571.4
3.747,-372.6,-581.5
3.763,-356.7,-591.7
3.780,-340.3,-602.2
3.797,-321.3,-612.9
3.813,-301.4,-623.3
3.830,-277.1,-634.0
3.847,-253.0,-643.9
3.863,-227.2,-653.0
3.880,-198.7,-661.9
3.896,-169.7,-669.7
3.913,-139.1,-676.3
3.930,-107.3,-682.0
3.946,-75.01,-685.7
3.963,-48.94,-688.0
3.980,-18.14,-688.7
3.996,28.53,-688.8
4.013,56.30,-687.2
4.030,84.71,-683.6
4.046,114.9,-679.2
4.063,146.3,-672.6
4.080,176.5,-665.3
4.096,205.4,-656.9
4.113,234.0,-647.3
4.130,260.2,-637.0
4.146,285.0,-626.1
4.163,304.9,-615.1
4.180,327.9,-603.8
4.196,346.3,-592.6
4.213,366.2,-581.1
4.230,382.1,-570.3
4.246,395.0,-559.8
4.263,407.1,-550.3
4.279,419.7,-541.8
4.296,428.3,-533.9
4.313,438.5,-527.6
4.329,444.5,-522.3
4.346,449.8,-517.9
4.363,453.1,-515.0
4.379,454.8,-513.4
4.396,454.6,-513.1
4.413,453.5,-514.1
4.429,450.9,-516.6
4.446,446.6,-520.4
4.463,440.5,-525.7
4.479,433.0,-532.0
4.496,423.4,-539.3
4.513,412.4,-547.7
4.529,398.5,-556.6
4.546,383.8,-566.9
4.563,368.5,-577.3
4.579,349.9,-588.5
4.596,332.3,-599.6
4.613,312.1,-611.0
4.629,289.2,-622.0
4.646,264.3,-632.9
4.662,238.3,-643.3
4.679,212.9,-652.8
4.696,184.5,-661.6
4.712,155.1,-669.2
4.729,124.3,-676.0
4.746,91.74,-681.1
4.762,64.43,-684.2
4.779,38.72,-686.8
4.796,-3.814,-687.2
4.812,-31.07,-687.0
4.829,-63.83,-684.9
4.846,-95.60,-681.5
4.862,-126.7,-676.8
4.879,-156.3,-670.7
4.896,-186.9,-663.2
4.912,-213.9,-655.0
4.929,-237.9,-646.8
4.946,-263.7,-636.9
4.962,-287.7,-626.9
4.979,-307.1,-617.1
4.996,-326.9,-607.2
5.012,-345.2,-597.0
5.029,-360.5,-587.6
5.045,-376.7,-578.0
5.062,-389.2,-569.8
5.079,-399.5,-561.9
5.095,-408.9,-555.1
5.112,-416.9,-549.0
5.129,-423.1,-544.2
5.145,-427.7,-540.7
5.162,-430.5,-538.3
5.179,-431.8,-537.0
5.195,-431.8,-537.2
5.212,-430.1,-538.4
5.229,-426.8,-540.9
5.245,-422.1,-545.2
5.262,-415.8,-550.1
5.279,-408.2,-556.0
5.295,-398.3,-563.3
5.312,-386.8,-570.9
5.329,-373.1,-579.8
5.345,-358.8,-589.1
5.362,-342.3,-598.8
5.378,-324.1,-608.8
5.395,-304.9,-618.9
5.412,-283.5,-629.1
5.428,-260.6,-638.9
5.445,-236.3,-648.1
5.462,-210.3,-656.8
5.478,-183.4,-664.8
5.495,-155.0,-671.8
5.512,-125.5,-678.1
5.528,-93.68,-682.6
5.545,-60.88,-686.8
5.562,-40.34,-687.9
5,578,,
5,595,,
5.612,59.66,-685.9
5.628,90.43,-682.9
5,645,,
5,662,,
5,678,,
5,695,,
5,712,,
5,728,,
5,745,,
5,761,,
5.778,320.4,-605.3
5.795,340.7,-594.5
5.811,357.5,-584.1
5.828,372.2,-574.1
5.845,386.3,-564.6
5.861,398.1,-556.0
5.878,408.3,-548.0
5.895,417.3,-541.1
5.911,425.0,-535.2
5.928,431.7,-530.6
5.945,435.5,-527.1
5.961,438.8,-524.7
5.978,440.1,-523.8
5.995,439.3,-523.9
6.011,437.1,-525.1
6.028,433.1,-528.2
6.045,428.6,-532.1
6.061,422.1,-537.0
6.078,413.9,-543.2
6.095,404.6,-550.7
6.111,392.2,-558.9
6.128,379.5,-567.8
6.144,364.0,-577.3
6.161,348.7,-587.7
6.178,330.8,-598.0
6.194,312.7,-608.8
6.211,291.8,-619.2
6,228,,
6,244,,
6,261,,
6,278,,
6.294,167.6,-666.0
6.311,138.7,-672.6
6.328,108.9,-678.3
6.344,78.57,-683.0
6,361,,
6,378,,
6,394,,
6,411,,
6.428,-71.56,-684.7
6.444,-102.6,-681.3
6.461,-132.6,-676.0
6.478,-163.0,-669.1
6.494,-189.1,-662.7
6.511,-215.3,-655.0
6.527,-240.6,-646.0
6.544,-263.9,-637.0
6.561,-285.6,-628.1
6.577,-304.8,-618.6
6.594,-323.7,-609.0
6.611,-340.9,-599.5
6.627,-356.0,-590.7
6.644,-370.3,-582.1
6.661,-382.0,-574.3
6.677,-392.6,-567.2
6.694,-401.4,-561.1
6.711,-408.2,-555.8
6.727,-413.5,-552.1
6,744,,
6,761,,
6,777,,
6,794,,
6,811,,
6.827,-413.3,-552.2
6.844,-407.8,-556.1
6.860,-401.1,-561.4
6.877,-392.2,-567.4
6.894,-381.5,-574.9
6.910,-369.3,-582.6
6.927,-355.3,-591.3
6.944,-340.0,-600.0
6.960,-322.8,-609.5
6.977,-305.4,-619.0
6.994,-285.4,-628.6
7.010,-263.8,-637.7
7.027,-240.6,-646.7
7.044,-217.6,-655.2
7.060,-191.9,-663.1
7.077,-166.2,-670.1
7.094,-138.1,-676.2
7.110,-107.8,-681.0
7.127,-79.68,-685.0
7,144,,
7.160,-24.91,-688.2
7.177,15.47,-688.3
7.194,44.84,-686.8
7.210,70.57,-684.4
7.227,100.9,-680.3
7.243,129.6,-674.9
7,260,,
7,277,,
7,293,,
7.310,237.1,-644.5
7.327,260.5,-634.8
7.343,281.0,-624.7
7.360,301.0,-615.0
7.377,320.3,-604.9
7.393,337.8,-595.2
7.410,355.0,-585.6
7.427,368.7,-576.5
7.443,381.3,-568.0
7,460,,
7.477,401.4,-553.2
7.493,409.3,-547.0
7.510,416.1,-542.0
7,527,,
7,543,,
7,560,,
7,577,,
7,593,,
7.610,422.8,-536.1
7.626,419.4,-539.6
7.643,413.4,-543.8
7.660,405.3,-549.2
7.676,396.5,-555.8
7.693,386.2,-562.8
7.710,374.4,-571.3
7.726,362.2,-579.9
7.743,345.9,-589.1
7.760,329.6,-599.1
7.776,310.8,-609.0
7.793,291.2,-619.0
7.810,270.2,-629.0
7.826,249.5,-638.0
7.843,225.7,-647.1
7.860,200.0,-655.9
7.876,173.2,-663.9
7.893,146.4,-670.7
7.910,118.1,-676.8
7.926,88.35,-681.3
7,943,,
7,960,,
7,976,,
7.993,-28.93,-687.0
8.009,-55.00,-686.0
8.026,-88.36,-682.4
8.043,-115.6,-678.6
8.059,-144.7,-672.9
8.076,-173.7,-666.2
8.093,-197.7,-659.8
8.109,-223.6,-652.1
8.126,-247.6,-643.1
8.143,-267.3,-634.9
8.159,-287.6,-626.0
8.176,-306.7,-616.8
8.193,-324.4,-608.2
8.209,-340.4,-599.4
8.226,-354.1,-591.2
8.243,-366.7,-583.4
8.259,-377.5,-576.5
8.276,-386.4,-570.2
8.293,-393.9,-565.1
8.309,-399.7,-560.8
8,326,,
8,342,,
8,359,,
8,376,,
8,392,,
8.409,-403.8,-558.4
8.426,-399.1,-561.6
8.442,-392.6,-566.5
8.459,-384.4,-572.2
8.476,-375.0,-578.4
8.492,-363.4,-585.3
8.509,-350.7,-593.1
8.526,-336.3,-601.4
8.542,-319.9,-610.2
8.559,-302.1,-619.1
8.576,-283.1,-627.9
8.592,-262.3,-636.7
8.609,-241.6,-645.4
8.626,-216.7,-653.7
8.642,-193.7,-661.3
8.659,-166.5,-668.0
8.676,-139.8,-673.9
8.692,-112.3,-679.1
8.709,-84.76,-683.2
8.725,-56.85,-685.3
8.742,-29.43,-686.7
8.759,0.158,-686.9
8.775,31.77,-686.2
8.792,57.24,-684.2
8.809,87.01,-681.2
8.825,114.8,-676.5
8.842,143.0,-670.9
8.859,170.3,-664.0
8.875,196.4,-656.5
8.892,220.8,-648.4
8.909,244.0,-639.7
8.925,265.7,-630.5
8.942,286.8,-620.8
8.959,305.4,-611.3
8.975,324.4,-602.2
8.992,340.3,-593.1
9.009,354.3,-584.3
9.025,366.9,-575.8
9.042,378.5,-568.4
9.059,389.6,-561.6
9.075,398.4,-555.7
9.092,404.9,-550.6
9.108,410.0,-546.8
9.125,414.0,-543.9
9.142,416.4,-542.1
9.158,416.8,-541.4
9.175,416.6,-541.9
9.192,414.2,-543.3
9.208,410.9,-545.9
9.225,406.2,-549.6
9.242,399.5,-554.7
9.258,390.9,-560.5
9.275,381.4,-567.1
9.292,369.2,-574.4
9.308,356.2,-582.6
9.325,343.0,-591.4
9.342,327.2,-600.0
9.358,308.9,-609.8
9.375,291.1,-618.8
9.392,270.4,-628.6
9.408,248.4,-637.7
9.425,225.6,-646.5
9.442,201.4,-654.6
9.458,176.5,-662.3
9.475,149.8,-669.2
9.491,121.8,-675.0
9.508,94.33,-679.6
9.525,67.76,-683.7
9.541,43.04,-685.6
9.558,14.19,-687.2
9.575,-15.00,-687.0
9.591,-49.51,-686.1
9.608,-76.26,-683.7
9.625,-104.5,-680.0
9.641,-132.7,-675.2
9.658,-158.5,-669.8
9.675,-183.4,-663.8
9.691,-207.5,-656.8
9.708,-231.8,-648.7
9.725,-252.2,-640.8
9.741,-273.4,-632.3
9.758,-291.8,-623.7
9.775,-310.0,-615.3
9.791,-326.1,-607.3
9.808,-340.5,-599.2
9.825,-352.9,-591.7
9.841,-364.0,-585.0
9.858,-373.4,-579.1
9.874,-381.8,-574.2
9.891,-387.8,-569.8
9.908,-392.6,-566.5
9.924,-395.6,-564.3
9.941,-397.4,-562.7
9.958,-397.5,-562.8
9.974,-396.3,-563.8
9.991,-393.4,-566.0
10.008,-389.3,-568.9
10.024,-383.1,-572.8
10.041,-375.5,-578.1
10.058,-366.6,-583.8
10.074,-355.4,-590.5
10.091,-342.6,-597.9
10.108,-328.5,-605.5
10.124,-313.6,-613.7
10.141,-296.8,-622.2
10.158,-278.4,-630.8
10.174,-258.3,-639.1
10.191,-237.4,-647.3
10.207,-213.5,-654.7
10.224,-190.1,-661.8
10.241,-166.6,-668.3
10.257,-141.0,-674.4
10.274,-114.2,-679.2
10.291,-85.75,-682.7
10.307,-61.55,-685.3
10.324,-31.83,-686.9
10.341,-6.871,-687.3
10.357,29.49,-686.8
10.374,50.99,-685.0
10.391,80.75,-682.2
10.407,108.1,-677.7
10,424,,
10.441,160.5,-667.0
10.457,186.0,-659.5
10.474,209.4,-652.1
10.491,233.0,-643.9
10.507,254.3,-635.3
10.524,274.3,-626.2
10.541,293.0,-617.2
10.557,310.4,-608.4
10.574,327.5,-599.7
10.590,341.9,-591.4
10.607,355.3,-583.5
10.624,366.8,-576.4
10.640,376.4,-569.8
10.657,384.6,-564.2
10.674,392.4,-559.2
10.690,397.9,-555.3
10.707,402.0,-552.1
10.724,404.5,-550.2
10.740,405.0,-549.2
10.757,404.6,-549.5
10.774,403.3,-550.9
10.790,400.4,-553.5
10.807,395.6,-557.0
10.824,389.4,-561.2
10.840,381.8,-566.7
10.857,371.9,-572.9
10.874,361.2,-580.0
10.890,348.6,-587.4
10.907,335.0,-595.4
10.924,319.7,-604.2
10.940,303.1,-612.7
10.957,284.8,-621.8
10.973,265.2,-630.6
10.990,244.5,-639.1
11.007,222.2,-647.6
11.023,198.0,-655.2
11.040,173.8,-662.4
11.057,149.0,-669.2
11.073,122.3,-674.8
11.090,96.02,-679.5
11.107,69.43,-683.0
11.123,44.17,-685.4
11.140,14.60,-686.3
11.157,-17.12,-686.5
11.173,-43.31,-685.7
11.190,-70.65,-683.8
11.207,-97.47,-681.0
11.223,-125.5,-676.4
11.240,-151.0,-671.4
11.257,-175.1,-665.3
11.273,-198.9,-658.8
11.290,-221.7,-651.3
11.307,-243.1,-644.2
11.323,-263.5,-636.4
11.340,-282.6,-627.8
11.356,-300.2,-620.1
11.373,-315.8,-612.2
11.390,-329.7,-604.9
11.406,-342.5,-597.9
11.423,-353.5,-591.6
11,440,,
11,456,,
11,473,,
11,490,,
11,506,,
11,523,,
11,540,,
11,556,,
11,573,,
11,590,,
11,606,,
11.623,-366.5,-584.3
11.640,-357.6,-589.6
11.656,-346.6,-596.0
11.673,-335.0,-602.8
11.689,-321.3,-610.3
11.706,-306.0,-617.7
11.723,-289.0,-625.8
11.739,-271.3,-633.6
11.756,-251.9,-641.8
11.773,-231.8,-649.1
11.789,-210.1,-656.4
11.806,-187.0,-662.9
11.823,-163.1,-669.3
11.839,-136.1,-674.8
11.856,-111.7,-679.2
11.873,-86.34,-682.8
11,889,,
11.906,-31.62,-687.0
11,923,,
11.939,23.24,-686.2
11.956,50.52,-685.1
11.973,76.53,-682.2
11.989,103.3,-678.3
12,006,,
12,023,,
12,039,,
12,056,,
12.072,224.4,-646.3
12.089,244.7,-638.2
12.106,266.7,-629.7
12.122,285.4,-621.5
12.139,301.7,-613.3
12.156,318.0,-604.9
12.172,331.9,-597.3
12.189,346.1,-589.8
12.206,356.6,-583.0
12.222,367.7,-576.7
12.239,375.7,-571.4
12.256,382.6,-566.4
12.272,388.6,-562.3
12.289,392.2,-559.5
12.306,394.7,-557.7
12.322,395.6,-557.0
12.339,395.5,-557.4
12.356,393.7,-558.7
